Item1,Item2,Item3,Item4,BestItem,WorstItem
595,169,565,417,565,595
595,169,565,417,565,595
372,817,566,319,319,817
372,817,566,319,372,817
69,95,194,410,410,95
69,95,194,410,410,69
830,149,579,245,245,830
830,149,579,245,149,830
858,592,58,325,592,325
858,592,58,325,592,58
625,573,745,720,573,745
625,573,745,720,625,573
625,573,745,720,625,573
243,738,36,869,243,738
243,738,36,869,243,738
243,738,36,869,243,738
525,87,979,552,552,87
525,87,979,552,525,979
525,87,979,552,525,979
990,907,818,317,818,317
990,907,818,317,317,907
990,907,818,317,818,990
118,598,911,929,118,598
118,598,911,929,118,598
118,598,911,929,911,118
133,45,774,409,133,774
133,45,774,409,133,45
133,45,774,409,45,133
471,7,274,651,7,651
471,7,274,651,7,651
471,7,274,651,274,471
876,846,678,682,678,846
876,846,678,682,678,876
876,846,678,682,846,678
288,580,107,413,107,580
288,580,107,413,107,580
288,580,107,413,288,413
310,246,701,165,165,701
310,246,701,165,165,310
310,246,701,165,165,701
475,957,688,507,507,688
475,957,688,507,507,688
475,957,688,507,957,688
448,233,91,62,91,448
448,233,91,62,62,448
448,233,91,62,91,448
848,632,749,835,749,632
848,632,749,835,632,848
848,632,749,835,632,848
180,94,885,905,905,885
180,94,885,905,180,885
180,94,885,905,94,180
403,168,161,948,168,948
403,168,161,948,161,403
403,168,161,948,168,948
695,246,921,690,695,690
695,246,921,690,695,690
143,857,822,640,143,857
143,857,822,640,640,857
138,849,418,74,138,74
138,849,418,74,138,849
162,713,205,646,205,713
162,713,205,646,205,162
848,697,28,880,697,848
848,697,28,880,697,848
513,721,435,381,721,513
513,721,435,381,435,513
513,721,435,381,721,513
387,471,508,214,508,471
387,471,508,214,214,508
387,471,508,214,214,387
316,245,867,333,245,316
316,245,867,333,333,867
316,245,867,333,245,867
441,260,26,922,26,441
441,260,26,922,26,441
441,260,26,922,260,441
505,49,75,962,49,962
505,49,75,962,49,962
505,49,75,962,75,505
931,839,887,94,94,931
931,839,887,94,94,887
931,839,887,94,94,887
998,643,895,701,643,895
998,643,895,701,998,701
998,643,895,701,701,895
641,66,244,809,66,244
641,66,244,809,244,66
641,66,244,809,244,809
740,652,763,32,32,652
740,652,763,32,32,652
740,652,763,32,32,740
65,932,30,959,30,932
65,932,30,959,932,65
65,932,30,959,30,65
917,242,166,644,917,242
917,242,166,644,917,166
917,242,166,644,917,242
272,269,995,92,92,269
272,269,995,92,269,272
272,269,995,92,272,995
479,802,338,815,802,338
479,802,338,815,338,815
479,802,338,815,479,802
41,864,119,407,119,41
41,864,119,407,119,864
41,864,119,407,119,41
658,519,256,395,658,519
658,519,256,395,658,256
658,519,256,395,658,519
569,598,394,931,394,569
569,598,394,931,394,598
338,707,522,461,522,707
338,707,522,461,338,707
38,449,960,123,38,123
38,449,960,123,38,123
353,923,486,737,486,353
353,923,486,737,923,353
154,862,336,426,154,426
154,862,336,426,336,862
649,238,434,416,238,434
649,238,434,416,238,434
649,238,434,416,649,434
837,393,281,499,393,837
837,393,281,499,499,281
837,393,281,499,393,837
460,631,823,7,7,631
460,631,823,7,460,823
460,631,823,7,460,631
981,755,980,944,980,981
981,755,980,944,981,980
981,755,980,944,980,755
667,230,740,175,230,740
667,230,740,175,230,740
667,230,740,175,175,740
321,900,28,26,900,321
321,900,28,26,26,28
321,900,28,26,26,900
863,767,587,885,767,863
863,767,587,885,587,767
863,767,587,885,863,767
412,996,761,343,996,412
412,996,761,343,996,412
412,996,761,343,996,343
176,934,768,932,934,768
176,934,768,932,934,768
176,934,768,932,934,176
358,380,22,924,380,358
358,380,22,924,380,358
358,380,22,924,380,924
679,710,172,46,46,710
679,710,172,46,46,710
679,710,172,46,46,710
413,824,812,47,47,812
413,824,812,47,47,812
413,824,812,47,47,824
20,141,138,815,815,138
20,141,138,815,20,141
20,141,138,815,138,141
273,844,842,858,273,844
273,844,842,858,273,842
273,844,842,858,273,842
525,712,890,750,525,712
525,712,890,750,750,712
525,712,890,750,750,525
502,832,956,372,956,832
502,832,956,372,502,956
20,193,903,180,180,903
20,193,903,180,193,903
532,656,396,885,532,396
532,656,396,885,532,396
981,19,809,994,19,809
981,19,809,994,19,809
243,110,811,324,243,811
243,110,811,324,324,811
7,511,9,758,9,758
7,511,9,758,9,511
7,511,9,758,9,511
421,886,704,241,241,421
421,886,704,241,241,886
421,886,704,241,241,886
470,931,914,352,470,352
470,931,914,352,470,352
470,931,914,352,470,931
540,836,383,694,540,836
540,836,383,694,383,836
540,836,383,694,540,836
309,207,41,618,309,41
309,207,41,618,207,618
309,207,41,618,207,618
201,463,177,995,201,463
201,463,177,995,995,463
201,463,177,995,995,463
884,119,195,739,119,884
884,119,195,739,119,739
884,119,195,739,119,884
569,728,380,97,97,569
569,728,380,97,728,569
569,728,380,97,380,569
640,302,965,145,640,965
640,302,965,145,640,145
640,302,965,145,640,145
446,473,192,73,473,446
446,473,192,73,473,446
446,473,192,73,473,446
607,942,79,702,79,607
607,942,79,702,79,607
607,942,79,702,79,702
435,568,218,15,568,435
435,568,218,15,218,435
435,568,218,15,15,435
295,188,973,616,188,973
295,188,973,616,188,295
295,188,973,616,188,295
158,980,733,807,980,807
158,980,733,807,158,807
158,980,733,807,980,733
480,709,839,514,480,709
480,709,839,514,480,709
480,709,839,514,480,514
838,91,189,518,91,189
838,91,189,518,91,189
24,740,985,812,24,812
24,740,985,812,24,812
665,360,752,926,360,926
665,360,752,926,360,926
574,475,345,523,523,475
574,475,345,523,574,475
280,843,584,705,705,843
280,843,584,705,280,584
979,591,173,685,979,173
979,591,173,685,173,685
979,591,173,685,591,979
431,410,237,967,410,237
431,410,237,967,410,237
431,410,237,967,410,237
398,101,429,995,995,429
398,101,429,995,398,429
398,101,429,995,398,429
435,601,507,417,507,417
435,601,507,417,417,601
435,601,507,417,507,601
897,183,50,153,183,897
897,183,50,153,153,897
897,183,50,153,50,897
691,100,254,754,254,691
691,100,254,754,100,691
691,100,254,754,100,254
904,474,914,551,551,904
904,474,914,551,551,474
904,474,914,551,904,914
75,228,43,120,75,120
75,228,43,120,75,228
75,228,43,120,75,43
225,578,804,441,225,441
225,578,804,441,225,804
225,578,804,441,225,804
668,721,45,449,668,45
668,721,45,449,449,45
668,721,45,449,721,45
946,94,250,661,946,661
946,94,250,661,94,661
946,94,250,661,250,661
477,335,546,346,477,546
477,335,546,346,477,546
477,335,546,346,346,477
648,438,712,530,438,530
648,438,712,530,438,648
648,438,712,530,438,648
618,644,954,28,644,28
618,644,954,28,618,28
618,644,954,28,954,618
358,556,194,808,358,556
358,556,194,808,194,358
358,556,194,808,194,556
380,186,823,331,380,186
380,186,823,331,380,186
275,198,373,324,324,373
275,198,373,324,275,324
686,227,206,768,686,768
686,227,206,768,227,768
48,677,268,993,48,677
48,677,268,993,268,677
121,917,666,537,917,121
121,917,666,537,917,666
499,442,513,559,499,513
499,442,513,559,499,513
497,9,394,867,394,867
497,9,394,867,394,867
497,9,394,867,394,867
512,653,249,146,512,653
512,653,249,146,146,653
512,653,249,146,512,653
366,446,392,654,392,366
366,446,392,654,446,654
366,446,392,654,392,654
155,224,503,862,155,224
155,224,503,862,503,224
155,224,503,862,155,224
557,440,24,718,24,718
557,440,24,718,440,718
557,440,24,718,440,718
183,220,845,295,220,295
183,220,845,295,183,845
183,220,845,295,183,295
313,182,307,345,182,307
